"id","title","content","publication_date","source_url","category","created_at"
12,"15 cities with the most expensive fast food in America","<img class=""type:primaryImage"" src=""https://i.kinja-img.com/image/upload/c_fit,q_80,w_636/0702fef9394f5e957d721bfdca167df2.jpg"" /><p>Inflation has <a class=""sc-1out364-0 dPMosf sc-145m8ut-0 lcFFec js_link"" href=""https://qz.com/walmart-target-costco-home-depot-lowes-retail-inflation-1851629124?_gl=1*yjrk0*_ga*MTIwNzMxNDYwMS4xNzE2MTMzMDkz*_ga_V4QNJTT5L0*MTcyNjY5NjM4NC4yMS4xLjE3MjY2OTgzMzMuNjAuMC4w"" rel=""noopener noreferrer"" target=""_blank"">taken a bite</a> out of more than just the economy – it’s also <a class=""sc-1out364-0 dPMosf sc-145m8ut-0 lcFFec js_link"" href=""https://qz.com/mcdonalds-5-meal-deal-psychological-success-1851648326?_gl=1*yjrk0*_ga*MTIwNzMxNDYwMS4xNzE2MTMzMDkz*_ga_V4QNJTT5L0*MTcyNjY5NjM4NC4yMS4xLjE3MjY2OTgzMzMuNjAuMC4w"" rel=""noopener noreferrer"" target=""_blank"">gnawing</a> at America’s favorite meal: a burger, fries, and soda.<br /></p><p><a href=""https://qz.com/fast-food-prices-most-expensive-us-1851650418"">Read more...</a></p>","2024-10-09 09:00:00","https://qz.com/fast-food-prices-most-expensive-us-1851650418","Others","2024-10-09 14:43:26.614546"
13,"Ozempic and prescription weight loss drugs: How they work, what they cost, side effects, and everything to know","<img class=""type:primaryImage"" src=""https://i.kinja-img.com/image/upload/c_fit,q_80,w_636/56560acaab1c21d2c98a0b2c623220df.jpg"" /><p>A highly effective class of weight loss drug has taken the world by storm, as medications like <a class=""sc-1out364-0 dPMosf sc-145m8ut-0 lcFFec js_link"" href=""https://qz.com/ozempic-weight-loss-drug-novo-nordisk-1851483167"" rel=""noopener noreferrer"" target=""_blank"">Ozempic</a>, <a class=""sc-1out364-0 dPMosf sc-145m8ut-0 lcFFec js_link"" href=""https://qz.com/wegovy-weight-loss-drug-novo-nordisk-study-1851476027"" rel=""noopener noreferrer"" target=""_blank"">Wegovy</a>, and <a class=""sc-1out364-0 dPMosf sc-145m8ut-0 lcFFec js_link"" href=""https://qz.com/eli-lilly-zepbound-fda-shortage-over-1851664423"" rel=""noopener noreferrer"" target=""_blank"">Zepbound</a> become household names. These drugs, originally meant to treat diabetes, have become widely known for their slimming side effects.<br /></p><p><a href=""https://qz.com/ozempic-wegovy-zepbound-weight-loss-drugs-cost-effects-1851660134"">Read more...</a></p>","2024-10-09 09:00:00","https://qz.com/ozempic-wegovy-zepbound-weight-loss-drugs-cost-effects-1851660134","Others","2024-10-09 14:43:26.652094"
14,"Domino's brings back 'emergency pizza' promotion that drove sales","<img class=""type:primaryImage"" src=""https://i.kinja-img.com/image/upload/c_fit,q_80,w_636/a7730e3eed3baeb60266658baba7aa18.jpg"" /><p>Pizza is an emergency. At least, Domino’s thinks so.<br /></p><p><a href=""https://qz.com/domino-emergency-pizza-promo-sales-driver-retail-1851668274"">Read more...</a></p>","2024-10-08 21:05:00","https://qz.com/domino-emergency-pizza-promo-sales-driver-retail-1851668274","Others","2024-10-09 14:43:26.672182"
15,"Americans are slowing down on their credit card spending — here’s why","<img class=""type:primaryImage"" src=""https://i.kinja-img.com/image/upload/c_fit,q_80,w_636/daf3ac95f34c35d8c412f3ed0452fc3c.jpg"" /><p> Americans are slowing down on their <a class=""sc-1out364-0 dPMosf sc-145m8ut-0 lcFFec js_link"" href=""https://qz.com/credit-cards-jd-power-rankings-points-miles-fees-1851623205"" rel=""noopener noreferrer"" target=""_blank"">credit card</a> purchases, according to <a class=""sc-1out364-0 dPMosf sc-145m8ut-0 lcFFec js_link"" href=""https://www.federalreserve.gov/releases/g19/current/"" rel=""noopener noreferrer"" target=""_blank"">recent data from the Federal Reserve’s consumer credit report</a>.<br /></p><p><a href=""https://qz.com/credit-card-spending-is-slowing-among-consumers-heres-1851667829"">Read more...</a></p>","2024-10-08 19:35:00","https://qz.com/credit-card-spending-is-slowing-among-consumers-heres-1851667829","Others","2024-10-09 14:43:26.706167"
16,"Lyft rolls out new payment measures to gain more drivers","<img class=""type:primaryImage"" src=""https://i.kinja-img.com/image/upload/c_fit,q_80,w_636/adf17bcc0a24692bb1b102311069f92c.jpg"" /><p><a class=""sc-1out364-0 dPMosf sc-145m8ut-0 lcFFec js_link"" href=""https://qz.com/lyft-layoffs-citibike-ebikes-1851639456"" rel=""noopener noreferrer"" target=""_blank"">Lyft</a> says it plans to attract more drivers to its ride-hailing platform by unveiling new payment measures for longer-than-estimated rides. These measures from the company come as Lyft (<a class=""sc-1out364-0 dPMosf sc-145m8ut-0 lcFFec js_link"" href=""https://qz.com/quote/LYFT"" rel=""noopener noreferrer"" target=""_blank"">LYFT</a>) is looking to entice new drivers and retain current drivers on its platform.</p><p><a href=""https://qz.com/lyft-will-start-charging-riders-extra-if-they-make-driv-1851667604"">Read more...</a></p>","2024-10-08 18:59:59","https://qz.com/lyft-will-start-charging-riders-extra-if-they-make-driv-1851667604","Others","2024-10-09 14:43:26.738068"
17,"FAANG and data center stocks are a buy to cash in on AI's next phase, strategist says","<img class=""type:primaryImage"" src=""https://i.kinja-img.com/image/upload/c_fit,q_80,w_636/519c11d1832ea37c102116156c28cd9c.jpg"" /><p>Tejas Dessai, director of research at Global X, spoke with Quartz for the latest installment of our “Smart Investing” video series.</p><p><a href=""https://qz.com/faang-data-center-stocks-cash-in-on-ais-next-phase-1851668061"">Read more...</a></p>","2024-10-08 18:29:00","https://qz.com/faang-data-center-stocks-cash-in-on-ais-next-phase-1851668061","Others","2024-10-09 14:43:26.757516"
18,"Luxury car sales are tanking as drivers look for cheaper options","<img class=""type:primaryImage"" src=""https://i.kinja-img.com/image/upload/c_fit,q_80,w_636/0bd44e28068f3d7fa06f027fea24f365.jpg"" /><p>After years of buying expensive vehicles and looking for luxury, more and more consumers are going all-in on cheaper — but reliable — cars that just get the job done well.<br /></p><p><a href=""https://qz.com/cheap-affordable-vehicle-sales-grow-luxury-fall-prices-1851667915"">Read more...</a></p>","2024-10-08 18:25:58","https://qz.com/cheap-affordable-vehicle-sales-grow-luxury-fall-prices-1851667915","Others","2024-10-09 14:43:26.777728"
97,"The Polish artist who painted Hindu gods in Indian palaces","Stefan Norblin painted beautiful murals in the art deco style for Indian maharajas in the 1940s.","2024-10-04 23:21:43","https://www.bbc.com/news/articles/c8xe17pegrno","Others","2024-10-09 14:43:28.526566"
19,"All the airports closing for Hurricane Milton","<img class=""type:primaryImage"" src=""https://i.kinja-img.com/image/upload/c_fit,q_80,w_636/fd018ec318da5ddf74be954fe82ce771.jpg"" /><p>As <a class=""sc-1out364-0 dPMosf sc-145m8ut-0 lcFFec js_link"" href=""https://www.nhc.noaa.gov/text/refresh/MIATCPAT4+shtml/081455.shtml"" rel=""noopener noreferrer"" target=""_blank"">category-4 Hurricane Milton</a> barrels toward Florida with an expected landfall occurring Wednesday morning, many of the state’s most heavily trafficked airports are shutting down operations. Among them are <a class=""sc-1out364-0 dPMosf sc-145m8ut-0 lcFFec js_link"" href=""https://www.orlandoairports.net/press/2024/10/07/hurricane-milton-update-2-orlando-international-to-cease-commercial-operations-8-am-wednesday-october-9/"" rel=""noopener noreferrer"" target=""_blank"">Orlando International Airport</a> and <a class=""sc-1out364-0 dPMosf sc-145m8ut-0 lcFFec js_link"" href=""https://news.tampaairport.com/tampa-international-airport-will-suspend-operations-early-tuesday-ahead-of-hurricane-milton/"" rel=""noopener noreferrer"" target=""_blank"">Tampa International Airport</a>.</p><p><a href=""https://qz.com/hurricane-milton-airport-closures-orlando-tampa-1851667895"">Read more...</a></p>","2024-10-08 17:58:00","https://qz.com/hurricane-milton-airport-closures-orlando-tampa-1851667895","Others","2024-10-09 14:43:26.814804"
20,"The next Nvidia? Data center stocks could be a goldmine, strategist says","<img class=""type:primaryImage"" src=""https://i.kinja-img.com/image/upload/c_fit,q_80,w_636/f899b71ce3b54e363dd6b6f293742e77.jpg"" /><p><a href=""https://qz.com/next-nvidia-data-center-companies-could-be-a-goldmine-1851668022"">Read more...</a></p>","2024-10-08 17:46:00","https://qz.com/next-nvidia-data-center-companies-could-be-a-goldmine-1851668022","Others","2024-10-09 14:43:26.834713"
21,"Home Depot says corporate employees have to try working in actual stores","<img class=""type:primaryImage"" src=""https://i.kinja-img.com/image/upload/c_fit,q_80,w_636/bb32aba528dff93fc9975bc17aa0e089.jpg"" /><p>Home Depot (<a class=""sc-1out364-0 dPMosf sc-145m8ut-0 lcFFec js_link"" href=""https://qz.com/quote/HD"" rel=""noopener noreferrer"" target=""_blank"">HD</a>) wants its corporate employees to gain insight into the daily challenges faced by its in-store associates. </p><p><a href=""https://qz.com/home-depot-corp-employees-work-in-store-shift-retail-1851667924"">Read more...</a></p>","2024-10-08 17:25:00","https://qz.com/home-depot-corp-employees-work-in-store-shift-retail-1851667924","Others","2024-10-09 14:43:26.856234"
22,"Look inside Clint Eastwood’s California home that just sold for more than $18 million","<img class=""type:primaryImage"" src=""https://i.kinja-img.com/image/upload/c_fit,q_80,w_636/58ad1ebaff7c2f6a9f15eb37b91da9c1.jpg"" /><p>Academy Award-winning actor Clint Eastwood’s former home in Carmel-by-the-Sea, California sold for $18.55 million after going on the market for $21 million earlier this year.<br /></p><p><a href=""https://qz.com/clint-eastwoods-former-home-sells-18-55-million-1851667945"">Read more...</a></p>","2024-10-08 17:09:00","https://qz.com/clint-eastwoods-former-home-sells-18-55-million-1851667945","Others","2024-10-09 14:43:26.890678"
23,"WeightWatchers is getting in on the off-brand weight loss drug game — and selling them cheap","<img class=""type:primaryImage"" src=""https://i.kinja-img.com/image/upload/c_fit,q_80,w_636/3d2827dfea4aa3351f12bbe24f36db57.jpg"" /><p><a class=""sc-1out364-0 dPMosf sc-145m8ut-0 lcFFec js_link"" href=""https://qz.com/ozempic-wegovy-zepbound-weight-loss-drugs-cost-effects-1851660134"" rel=""noopener noreferrer"" target=""_blank"">Ozempic and prescription weight loss drugs: How they work, what they cost, side effects, and everything to know</a><br /></p><p><a href=""https://qz.com/weight-watchers-compounded-semaglutide-1851667926"">Read more...</a></p>","2024-10-08 16:59:55","https://qz.com/weight-watchers-compounded-semaglutide-1851667926","Others","2024-10-09 14:43:26.915715"
24,"A self-driving truck startup wants Waymo, Cruise, and others to follow its lead on safety","<img class=""type:primaryImage"" src=""https://i.kinja-img.com/image/upload/c_fit,q_80,w_636/95744c2614e6969decf943146d03ac7b.jpg"" /><p>Self-driving truck startup Gatik on Thursday announced plans for what it calls the “most rigorous” third-party review of an autonomous driving system. And it wants others to follow its lead.</p><p><a href=""https://qz.com/gatik-av-self-driving-trucks-safety-waymo-cruise-tesla-1851663459"">Read more...</a></p>","2024-10-08 16:02:00","https://qz.com/gatik-av-self-driving-trucks-safety-waymo-cruise-tesla-1851663459","Others","2024-10-09 14:43:26.939256"
25,"Kamala Harris wants Medicare to help cover in-home eldercare. Here's how she plans to pay for it","<img class=""type:primaryImage"" src=""https://i.kinja-img.com/image/upload/c_fit,q_80,w_636/8612b60ad2556daa27ff05e32ac4be69.jpg"" /><p><a class=""sc-1out364-0 dPMosf sc-145m8ut-0 lcFFec js_link"" href=""https://qz.com/ozempic-wegovy-zepbound-weight-loss-drugs-cost-effects-1851660134"" rel=""noopener noreferrer"" target=""_blank"">Ozempic and prescription weight loss drugs: How they work, what they cost, side effects, and everything to know</a></p><p><a href=""https://qz.com/kamala-harris-eldercare-funding-medicare-1851667707"">Read more...</a></p>","2024-10-08 15:04:00","https://qz.com/kamala-harris-eldercare-funding-medicare-1851667707","Others","2024-10-09 14:43:26.958256"
26,"Two AI pioneers won the Nobel Prize for their work in machine learning","<img class=""type:primaryImage"" src=""https://i.kinja-img.com/image/upload/c_fit,q_80,w_636/e04614969ced71971ea04833d265cc11.jpg"" /><p>Two artificial intelligence pioneers were awarded the Nobel Prize  for their work in machine learning, which laid the foundation for the current AI boom.</p><p><a href=""https://qz.com/ai-geoffrey-hinton-john-hopfield-machine-learning-nobel-1851667556"">Read more...</a></p>","2024-10-08 14:43:00","https://qz.com/ai-geoffrey-hinton-john-hopfield-machine-learning-nobel-1851667556","Others","2024-10-09 14:43:26.977249"
27,"Toyota is delaying plans to make electric cars in America","<img class=""type:primaryImage"" src=""https://i.kinja-img.com/image/upload/c_fit,q_80,w_636/79e8703b26d7cf51de9bd4a119f0d820.png"" /><p><a class=""sc-1out364-0 dPMosf sc-145m8ut-0 lcFFec js_link"" href=""https://jalopnik.com/car-buying/toyota"">Toyota</a> is delaying the production of its <a class=""sc-1out364-0 dPMosf sc-145m8ut-0 lcFFec js_link"" href=""https://jalopnik.com/toyota-slashes-its-already-low-ev-targets-1851641641"">first U.S.-made electric vehicle until 2026</a> at the earliest. Still, it says it’s going to sell as many as seven all-electric vehicles here within the next two years. It’s going to be very interesting to see if that actually happens with the <a class=""sc-1out364-0 dPMosf sc-145m8ut-0 lcFFec js_link"" href=""https://jalopnik.com/ditching-evs-for-hybrids-is-already-paying-off-for-auto-1851640422"">EV market being as unpredictable</a> as…</p><p><a href=""https://qz.com/toyotal-evs-electric-cars-hybrids-us-production-1851667677"">Read more...</a></p>","2024-10-08 14:41:05","https://qz.com/toyotal-evs-electric-cars-hybrids-us-production-1851667677","Others","2024-10-09 14:43:27.013276"
54,"Conservatives dismiss Biden parole limits on 500K migrants: ‘Optics-driven smokescreen’","The Biden administration last week announced that it will not be renewing CHNV paroles for more than 500,000 migrants; conservatives are unimpressed.","2024-10-09 08:00:50","https://www.foxnews.com/politics/conservatives-dismiss-biden-parole-move-500k-migrants-optics-driven-smokescreen","Others","2024-10-09 14:43:27.735982"
55,"Arizona begins in-person and absentee voting, here's what you need to know","Arizona kicks off 2024 election with early voting, absentee voting on Wednesday.","2024-10-09 05:00:15","https://www.foxnews.com/politics/arizona-begins-in-person-absentee-voting-heres-what-you-need-know","Others","2024-10-09 14:43:27.749138"
28,"Bitcoin creator Satoshi Nakamoto unmasked: Will HBO reveal who really made the cryptocurrency?","<img class=""type:primaryImage"" src=""https://i.kinja-img.com/image/upload/c_fit,q_80,w_636/6a363a034e712602ee791f42e5a75cbb.jpg"" /><p>HBO’s (<a class=""sc-1out364-0 dPMosf sc-145m8ut-0 lcFFec js_link"" href=""https://qz.com/quote/WBD"" rel=""noopener noreferrer"" target=""_blank"">WBD</a>) latest documentary, “<a class=""sc-1out364-0 dPMosf sc-145m8ut-0 lcFFec js_link"" href=""https://www.hbo.com/movies/money-electric-the-bitcoin-mystery"" rel=""noopener noreferrer"" target=""_blank"">Money Electric: The Bitcoin Mystery</a>,” premiering Tuesday, <a class=""sc-1out364-0 dPMosf sc-145m8ut-0 lcFFec js_link"" href=""https://qz.com/hbo-documentary-bitcoin-creator-satoshi-nakamoto-1851666819?_gl=1*k9nmcw*_ga*MTU2MDE5NDI5OS4xNzI3NzIxMzUz*_ga_V4QNJTT5L0*MTcyODM5NzM1NC4zMi4xLjE3MjgzOTczODEuMzMuMC4w"" rel=""noopener noreferrer"" target=""_blank"">promises to delve into one of the greatest enigmas of the digital age: the identity of Bitcoin’s elusive creator</a>, believed to be among the richest and most enigmatic individuals on the planet.<br /></p><p><a href=""https://qz.com/bitcoin-creator-satoshi-nakamoto-hbo-documentary-1851667608"">Read more...</a></p>","2024-10-08 14:25:35","https://qz.com/bitcoin-creator-satoshi-nakamoto-hbo-documentary-1851667608","Others","2024-10-09 14:43:27.050955"
29,"Even a grocery store is offering free streaming perks now","<img class=""type:primaryImage"" src=""https://i.kinja-img.com/image/upload/c_fit,q_80,w_636/fba2ae1b42a767e45897a9872cd060ca.jpg"" /><p>Kroger (<a class=""sc-1out364-0 dPMosf sc-145m8ut-0 lcFFec js_link"" href=""https://qz.com/quote/KR"" rel=""noopener noreferrer"" target=""_blank"">KR</a>), the nation’s largest grocer, is now helping cover some of its customers’ streaming subscriptions.<br /></p><p><a href=""https://qz.com/kroger-disney-plus-membership-streaming-1851667620"">Read more...</a></p>","2024-10-08 14:12:00","https://qz.com/kroger-disney-plus-membership-streaming-1851667620","Others","2024-10-09 14:43:27.071949"
30,"10 cities where low mortgage rates have homeowners locked in 'golden handcuffs'","<img class=""type:primaryImage"" src=""https://i.kinja-img.com/image/upload/c_fit,q_80,w_636/a7da16e68789dadee277991c3c0f5d7d.jpg"" /><p>Despite signs that the <a class=""sc-1out364-0 dPMosf sc-145m8ut-0 lcFFec js_link"" href=""https://qz.com/housing-market-mortgage-rates-lock-in-effect-listings-1851632607?rev=1724771767980"" rel=""noopener noreferrer"" target=""_blank"">“lock-in” effect is beginning to fade</a>, many homeowners that snagged rock-bottom mortgage rates during the pandemic are still waiting on rates to fall again before making a move.<br /></p><p><a href=""https://qz.com/homeowners-mortgage-rates-golden-handcuffs-lock-in-1851667517"">Read more...</a></p>","2024-10-08 14:00:00","https://qz.com/homeowners-mortgage-rates-golden-handcuffs-lock-in-1851667517","Others","2024-10-09 14:43:27.098149"
31,"Tesla's big robotaxi event might not even have real cars","<img class=""type:primaryImage"" src=""https://i.kinja-img.com/image/upload/c_fit,q_80,w_636/b0d96357fc1c11f2f90813c8ba7bc07e.jpg"" /><p><a class=""sc-1out364-0 dPMosf sc-145m8ut-0 lcFFec js_link"" href=""https://jalopnik.com/tesla-can-t-even-make-full-self-driving-work-in-a-tunne-1851634303"">Tesla</a> has big plans to release a <a class=""sc-1out364-0 dPMosf sc-145m8ut-0 lcFFec js_link"" href=""https://jalopnik.com/a-robotaxi-wont-solve-teslas-mounting-issues-1851473930"">company-saving robotaxi</a> next week, leveraging the <a class=""sc-1out364-0 dPMosf sc-145m8ut-0 lcFFec js_link"" href=""https://jalopnik.com/even-elon-musk-s-lawyers-don-t-think-autonomous-teslas-1851665228"">incredible advantage in autonomous technology</a> that <a class=""sc-1out364-0 dPMosf sc-145m8ut-0 lcFFec js_link"" href=""https://jalopnik.com/tesla-s-full-self-driving-tech-isn-t-just-around-the-c-1851485259"">the company swears it has</a> in order to prevent <a class=""sc-1out364-0 dPMosf sc-145m8ut-0 lcFFec js_link"" href=""https://jalopnik.com/silicon-valley-tech-bros-are-out-on-tesla-1851651247"">the whole house of cards from tumbling down</a>. The Tesla faithful hoping to see a real life robotaxi might be disappointed, however: New…</p><p><a href=""https://qz.com/tesla-robotaxi-event-elon-musk-self-driving-cars-evs-1851667564"">Read more...</a></p>","2024-10-08 13:28:25","https://qz.com/tesla-robotaxi-event-elon-musk-self-driving-cars-evs-1851667564","Others","2024-10-09 14:43:27.141703"
